quantile,model,weight,location
0.01,COVIDhub-baseline,0.012808862917267114,01
0.01,COVIDhub-baseline,0.012808862917267114,02
0.01,COVIDhub-baseline,0.012808862917267114,60
0.01,COVIDhub-baseline,0.012808862917267114,04
0.01,COVIDhub-baseline,0.012808862917267114,05
0.01,COVIDhub-baseline,0.012808862917267114,06
0.01,COVIDhub-baseline,0.012808862917267114,08
0.01,COVIDhub-baseline,0.012808862917267114,09
0.01,COVIDhub-baseline,0.012808862917267114,10
0.01,COVIDhub-baseline,0.012808862917267114,11
0.01,COVIDhub-baseline,0.012808862917267114,12
0.01,COVIDhub-baseline,0.012808862917267114,13
0.01,COVIDhub-baseline,0.012808862917267114,66
0.01,COVIDhub-baseline,0.012808862917267114,15
0.01,COVIDhub-baseline,0.012808862917267114,16
0.01,COVIDhub-baseline,0.012808862917267114,17
0.01,COVIDhub-baseline,0.012808862917267114,18
0.01,COVIDhub-baseline,0.012808862917267114,19
0.01,COVIDhub-baseline,0.012808862917267114,20
0.01,COVIDhub-baseline,0.012808862917267114,21
0.01,COVIDhub-baseline,0.012808862917267114,22
0.01,COVIDhub-baseline,0.012808862917267114,23
0.01,COVIDhub-baseline,0.012808862917267114,24
0.01,COVIDhub-baseline,0.012808862917267114,25
0.01,COVIDhub-baseline,0.012808862917267114,26
0.01,COVIDhub-baseline,0.012808862917267114,27
0.01,COVIDhub-baseline,0.012808862917267114,28
0.01,COVIDhub-baseline,0.012808862917267114,29
0.01,COVIDhub-baseline,0.012808862917267114,30
0.01,COVIDhub-baseline,0.012808862917267114,31
0.01,COVIDhub-baseline,0.012808862917267114,32
0.01,COVIDhub-baseline,0.012808862917267114,33
0.01,COVIDhub-baseline,0.012808862917267114,34
0.01,COVIDhub-baseline,0.012808862917267114,35
0.01,COVIDhub-baseline,0.012808862917267114,36
0.01,COVIDhub-baseline,0.012808862917267114,37
0.01,COVIDhub-baseline,0.012808862917267114,38
0.01,COVIDhub-baseline,0.012808862917267114,69
0.01,COVIDhub-baseline,0.012808862917267114,39
0.01,COVIDhub-baseline,0.012808862917267114,40
0.01,COVIDhub-baseline,0.012808862917267114,41
0.01,COVIDhub-baseline,0.012808862917267114,42
0.01,COVIDhub-baseline,0.012808862917267114,72
0.01,COVIDhub-baseline,0.012808862917267114,44
0.01,COVIDhub-baseline,0.012808862917267114,45
0.01,COVIDhub-baseline,0.012808862917267114,46
0.01,COVIDhub-baseline,0.012808862917267114,47
0.01,COVIDhub-baseline,0.012808862917267114,48
0.01,COVIDhub-baseline,0.012808862917267114,49
0.01,COVIDhub-baseline,0.012808862917267114,50
0.01,COVIDhub-baseline,0.012808862917267114,78
0.01,COVIDhub-baseline,0.012808862917267114,51
0.01,COVIDhub-baseline,0.012808862917267114,53
0.01,COVIDhub-baseline,0.012808862917267114,54
0.01,COVIDhub-baseline,0.012808862917267114,55
0.01,COVIDhub-baseline,0.012808862917267114,56
0.025,COVIDhub-baseline,0.012808862917267114,01
0.025,COVIDhub-baseline,0.012808862917267114,02
0.025,COVIDhub-baseline,0.012808862917267114,60
0.025,COVIDhub-baseline,0.012808862917267114,04
0.025,COVIDhub-baseline,0.012808862917267114,05
0.025,COVIDhub-baseline,0.012808862917267114,06
0.025,COVIDhub-baseline,0.012808862917267114,08
0.025,COVIDhub-baseline,0.012808862917267114,09
0.025,COVIDhub-baseline,0.012808862917267114,10
0.025,COVIDhub-baseline,0.012808862917267114,11
0.025,COVIDhub-baseline,0.012808862917267114,12
0.025,COVIDhub-baseline,0.012808862917267114,13
0.025,COVIDhub-baseline,0.012808862917267114,66
0.025,COVIDhub-baseline,0.012808862917267114,15
0.025,COVIDhub-baseline,0.012808862917267114,16
0.025,COVIDhub-baseline,0.012808862917267114,17
0.025,COVIDhub-baseline,0.012808862917267114,18
0.025,COVIDhub-baseline,0.012808862917267114,19
0.025,COVIDhub-baseline,0.012808862917267114,20
0.025,COVIDhub-baseline,0.012808862917267114,21
0.025,COVIDhub-baseline,0.012808862917267114,22
0.025,COVIDhub-baseline,0.012808862917267114,23
0.025,COVIDhub-baseline,0.012808862917267114,24
0.025,COVIDhub-baseline,0.012808862917267114,25
0.025,COVIDhub-baseline,0.012808862917267114,26
0.025,COVIDhub-baseline,0.012808862917267114,27
0.025,COVIDhub-baseline,0.012808862917267114,28
0.025,COVIDhub-baseline,0.012808862917267114,29
0.025,COVIDhub-baseline,0.012808862917267114,30
0.025,COVIDhub-baseline,0.012808862917267114,31
0.025,COVIDhub-baseline,0.012808862917267114,32
0.025,COVIDhub-baseline,0.012808862917267114,33
0.025,COVIDhub-baseline,0.012808862917267114,34
0.025,COVIDhub-baseline,0.012808862917267114,35
0.025,COVIDhub-baseline,0.012808862917267114,36
0.025,COVIDhub-baseline,0.012808862917267114,37
0.025,COVIDhub-baseline,0.012808862917267114,38
0.025,COVIDhub-baseline,0.012808862917267114,69
0.025,COVIDhub-baseline,0.012808862917267114,39
0.025,COVIDhub-baseline,0.012808862917267114,40
0.025,COVIDhub-baseline,0.012808862917267114,41
0.025,COVIDhub-baseline,0.012808862917267114,42
0.025,COVIDhub-baseline,0.012808862917267114,72
0.025,COVIDhub-baseline,0.012808862917267114,44
0.025,COVIDhub-baseline,0.012808862917267114,45
0.025,COVIDhub-baseline,0.012808862917267114,46
0.025,COVIDhub-baseline,0.012808862917267114,47
0.025,COVIDhub-baseline,0.012808862917267114,48
0.025,COVIDhub-baseline,0.012808862917267114,49
0.025,COVIDhub-baseline,0.012808862917267114,50
0.025,COVIDhub-baseline,0.012808862917267114,78
0.025,COVIDhub-baseline,0.012808862917267114,51
0.025,COVIDhub-baseline,0.012808862917267114,53
0.025,COVIDhub-baseline,0.012808862917267114,54
0.025,COVIDhub-baseline,0.012808862917267114,55
0.025,COVIDhub-baseline,0.012808862917267114,56
0.05,COVIDhub-baseline,0.012808862917267114,01
0.05,COVIDhub-baseline,0.012808862917267114,02
0.05,COVIDhub-baseline,0.012808862917267114,60
0.05,COVIDhub-baseline,0.012808862917267114,04
0.05,COVIDhub-baseline,0.012808862917267114,05
0.05,COVIDhub-baseline,0.012808862917267114,06
0.05,COVIDhub-baseline,0.012808862917267114,08
0.05,COVIDhub-baseline,0.012808862917267114,09
0.05,COVIDhub-baseline,0.012808862917267114,10
0.05,COVIDhub-baseline,0.012808862917267114,11
0.05,COVIDhub-baseline,0.012808862917267114,12
0.05,COVIDhub-baseline,0.012808862917267114,13
0.05,COVIDhub-baseline,0.012808862917267114,66
0.05,COVIDhub-baseline,0.012808862917267114,15
0.05,COVIDhub-baseline,0.012808862917267114,16
0.05,COVIDhub-baseline,0.012808862917267114,17
0.05,COVIDhub-baseline,0.012808862917267114,18
0.05,COVIDhub-baseline,0.012808862917267114,19
0.05,COVIDhub-baseline,0.012808862917267114,20
0.05,COVIDhub-baseline,0.012808862917267114,21
0.05,COVIDhub-baseline,0.012808862917267114,22
0.05,COVIDhub-baseline,0.012808862917267114,23
0.05,COVIDhub-baseline,0.012808862917267114,24
0.05,COVIDhub-baseline,0.012808862917267114,25
0.05,COVIDhub-baseline,0.012808862917267114,26
0.05,COVIDhub-baseline,0.012808862917267114,27
0.05,COVIDhub-baseline,0.012808862917267114,28
0.05,COVIDhub-baseline,0.012808862917267114,29
0.05,COVIDhub-baseline,0.012808862917267114,30
0.05,COVIDhub-baseline,0.012808862917267114,31
0.05,COVIDhub-baseline,0.012808862917267114,32
0.05,COVIDhub-baseline,0.012808862917267114,33
0.05,COVIDhub-baseline,0.012808862917267114,34
0.05,COVIDhub-baseline,0.012808862917267114,35
0.05,COVIDhub-baseline,0.012808862917267114,36
0.05,COVIDhub-baseline,0.012808862917267114,37
0.05,COVIDhub-baseline,0.012808862917267114,38
0.05,COVIDhub-baseline,0.012808862917267114,69
0.05,COVIDhub-baseline,0.012808862917267114,39
0.05,COVIDhub-baseline,0.012808862917267114,40
0.05,COVIDhub-baseline,0.012808862917267114,41
0.05,COVIDhub-baseline,0.012808862917267114,42
0.05,COVIDhub-baseline,0.012808862917267114,72
0.05,COVIDhub-baseline,0.012808862917267114,44
0.05,COVIDhub-baseline,0.012808862917267114,45
0.05,COVIDhub-baseline,0.012808862917267114,46
0.05,COVIDhub-baseline,0.012808862917267114,47
0.05,COVIDhub-baseline,0.012808862917267114,48
0.05,COVIDhub-baseline,0.012808862917267114,49
0.05,COVIDhub-baseline,0.012808862917267114,50
0.05,COVIDhub-baseline,0.012808862917267114,78
0.05,COVIDhub-baseline,0.012808862917267114,51
0.05,COVIDhub-baseline,0.012808862917267114,53
0.05,COVIDhub-baseline,0.012808862917267114,54
0.05,COVIDhub-baseline,0.012808862917267114,55
0.05,COVIDhub-baseline,0.012808862917267114,56
0.1,COVIDhub-baseline,0.012808862917267114,01
0.1,COVIDhub-baseline,0.012808862917267114,02
0.1,COVIDhub-baseline,0.012808862917267114,60
0.1,COVIDhub-baseline,0.012808862917267114,04
0.1,COVIDhub-baseline,0.012808862917267114,05
0.1,COVIDhub-baseline,0.012808862917267114,06
0.1,COVIDhub-baseline,0.012808862917267114,08
0.1,COVIDhub-baseline,0.012808862917267114,09
0.1,COVIDhub-baseline,0.012808862917267114,10
0.1,COVIDhub-baseline,0.012808862917267114,11
0.1,COVIDhub-baseline,0.012808862917267114,12
0.1,COVIDhub-baseline,0.012808862917267114,13
0.1,COVIDhub-baseline,0.012808862917267114,66
0.1,COVIDhub-baseline,0.012808862917267114,15
0.1,COVIDhub-baseline,0.012808862917267114,16
0.1,COVIDhub-baseline,0.012808862917267114,17
0.1,COVIDhub-baseline,0.012808862917267114,18
0.1,COVIDhub-baseline,0.012808862917267114,19
0.1,COVIDhub-baseline,0.012808862917267114,20
0.1,COVIDhub-baseline,0.012808862917267114,21
0.1,COVIDhub-baseline,0.012808862917267114,22
0.1,COVIDhub-baseline,0.012808862917267114,23
0.1,COVIDhub-baseline,0.012808862917267114,24
0.1,COVIDhub-baseline,0.012808862917267114,25
0.1,COVIDhub-baseline,0.012808862917267114,26
0.1,COVIDhub-baseline,0.012808862917267114,27
0.1,COVIDhub-baseline,0.012808862917267114,28
0.1,COVIDhub-baseline,0.012808862917267114,29
0.1,COVIDhub-baseline,0.012808862917267114,30
0.1,COVIDhub-baseline,0.012808862917267114,31
0.1,COVIDhub-baseline,0.012808862917267114,32
0.1,COVIDhub-baseline,0.012808862917267114,33
0.1,COVIDhub-baseline,0.012808862917267114,34
0.1,COVIDhub-baseline,0.012808862917267114,35
0.1,COVIDhub-baseline,0.012808862917267114,36
0.1,COVIDhub-baseline,0.012808862917267114,37
0.1,COVIDhub-baseline,0.012808862917267114,38
0.1,COVIDhub-baseline,0.012808862917267114,69
0.1,COVIDhub-baseline,0.012808862917267114,39
0.1,COVIDhub-baseline,0.012808862917267114,40
0.1,COVIDhub-baseline,0.012808862917267114,41
0.1,COVIDhub-baseline,0.012808862917267114,42
0.1,COVIDhub-baseline,0.012808862917267114,72
0.1,COVIDhub-baseline,0.012808862917267114,44
0.1,COVIDhub-baseline,0.012808862917267114,45
0.1,COVIDhub-baseline,0.012808862917267114,46
0.1,COVIDhub-baseline,0.012808862917267114,47
0.1,COVIDhub-baseline,0.012808862917267114,48
0.1,COVIDhub-baseline,0.012808862917267114,49
0.1,COVIDhub-baseline,0.012808862917267114,50
0.1,COVIDhub-baseline,0.012808862917267114,78
0.1,COVIDhub-baseline,0.012808862917267114,51
0.1,COVIDhub-baseline,0.012808862917267114,53
0.1,COVIDhub-baseline,0.012808862917267114,54
0.1,COVIDhub-baseline,0.012808862917267114,55
0.1,COVIDhub-baseline,0.012808862917267114,56
0.15,COVIDhub-baseline,0.010196239443027295,01
0.15,COVIDhub-baseline,0.010196239443027295,02
0.15,COVIDhub-baseline,0.010196239443027295,60
0.15,COVIDhub-baseline,0.010196239443027295,04
0.15,COVIDhub-baseline,0.010196239443027295,05
0.15,COVIDhub-baseline,0.010196239443027295,06
0.15,COVIDhub-baseline,0.010196239443027295,08
0.15,COVIDhub-baseline,0.010196239443027295,09
0.15,COVIDhub-baseline,0.010196239443027295,10
0.15,COVIDhub-baseline,0.010196239443027295,11
0.15,COVIDhub-baseline,0.010196239443027295,12
0.15,COVIDhub-baseline,0.010196239443027295,13
0.15,COVIDhub-baseline,0.010196239443027295,66
0.15,COVIDhub-baseline,0.010196239443027295,15
0.15,COVIDhub-baseline,0.010196239443027295,16
0.15,COVIDhub-baseline,0.010196239443027295,17
0.15,COVIDhub-baseline,0.010196239443027295,18
0.15,COVIDhub-baseline,0.010196239443027295,19
0.15,COVIDhub-baseline,0.010196239443027295,20
0.15,COVIDhub-baseline,0.010196239443027295,21
0.15,COVIDhub-baseline,0.010196239443027295,22
0.15,COVIDhub-baseline,0.010196239443027295,23
0.15,COVIDhub-baseline,0.010196239443027295,24
0.15,COVIDhub-baseline,0.010196239443027295,25
0.15,COVIDhub-baseline,0.010196239443027295,26
0.15,COVIDhub-baseline,0.010196239443027295,27
0.15,COVIDhub-baseline,0.010196239443027295,28
0.15,COVIDhub-baseline,0.010196239443027295,29
0.15,COVIDhub-baseline,0.010196239443027295,30
0.15,COVIDhub-baseline,0.010196239443027295,31
0.15,COVIDhub-baseline,0.010196239443027295,32
0.15,COVIDhub-baseline,0.010196239443027295,33
0.15,COVIDhub-baseline,0.010196239443027295,34
0.15,COVIDhub-baseline,0.010196239443027295,35
0.15,COVIDhub-baseline,0.010196239443027295,36
